,title,cast,director,keywords,genres
2394,Wolves,"['Jason Momoa', 'Lucas Till', 'John Pyper-Ferguson']",David Hayter,"['adoption', 'werewolf']","['Horror', 'Action']"
2395,Step Up 2: The Streets,"['Briana Evigan', 'Robert Hoffman', 'Will Kemp']",Jon M. Chu,"['underdog', 'competition', 'street gang']","['Music', 'Drama', 'Romance']"
2396,Hoodwinked!,"['Anne Hathaway', 'Glenn Close', 'Jim Belushi']",Cory Edwards,"['wolf', 'suspicion', 'little red riding hood']","['Animation', 'Comedy', 'Family']"
2397,Hotel Rwanda,"['Don Cheadle', 'Sophie Okonedo', 'Nick Nolte']",Terry George,"['rwanda', 'refugee', 'refugee camp']","['Drama', 'History', 'War']"
2398,Hitman,"['Timothy Olyphant', 'Dougray Scott', 'Olga Kurylenko']",Xavier Gens,"['assassin', 'secret identity', 'intelligence']","['Action', 'Crime', 'Drama']"
2399,Black Nativity,"['Forest Whitaker', 'Angela Bassett', 'Jennifer Hudson']",Kasi Lemmons,"['musical', 'based on stage musical', 'woman director']","['Drama', 'Music']"
2400,The Prince,"['Bruce Willis', 'Jason Patric', 'John Cusack']",Brian A Miller,"['mobster', 'justice', 'retired']","['Thriller', 'Action']"
2401,City of Ghosts,"['Matt Dillon', 'James Caan', 'Natascha McElhone']",Matt Dillon,[],['Thriller']
2402,The Others,"['Nicole Kidman', 'Christopher Eccleston', 'Alakina Mann']",Alejandro Amenábar,"['nanny', 'haunted house', 'channel islands']","['Horror', 'Drama', 'Mystery']"
2403,Aliens,"['Sigourney Weaver', 'Michael Biehn', 'James Remar']",James Cameron,"['android', 'extraterrestrial technology', 'space marine']","['Horror', 'Action', 'Thriller']"
2404,My Fair Lady,"['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway']",George Cukor,"['musical', 'transformation', 'flower girl']","['Drama', 'Family', 'Music']"
2405,I Know What You Did Last Summer,"['Jennifer Love Hewitt', 'Sarah Michelle Gellar', 'Ryan Phillippe']",Jim Gillespie,"['secret', 'blackmail', 'fisherman']","['Horror', 'Thriller', 'Mystery']"
2406,Let's Be Cops,"['Jake Johnson', 'Damon Wayans Jr.', 'Nina Dobrev']",Luke Greenfield,"['corruption', 'robbery', 'kidnapping']",['Comedy']
2407,Sideways,"['Paul Giamatti', 'Thomas Haden Church', 'Virginia Madsen']",Alexander Payne,"['california', 'golf', 'oscar award']","['Comedy', 'Drama', 'Romance']"
2408,Beerfest,"['Erik Stolhanske', 'Jay Chandrasekhar', 'Steve Lemme']",Jay Chandrasekhar,"['germany', 'competition', 'prostitute']",['Comedy']
2409,Halloween,"['Donald Pleasence', 'Jamie Lee Curtis', 'P.J. Soles']",John Carpenter,"['female nudity', 'nudity', 'mask']","['Horror', 'Thriller']"
2410,Good Boy!,"['Molly Shannon', 'Liam Aiken', 'Matthew Broderick']",John Robert Hoffman,[],"['Comedy', 'Family', 'Science Fiction']"
2411,The Best Man Holiday,"['Terrence Howard', 'Harold Perrineau', 'Morris Chestnut']",Malcolm D. Lee,['best man'],['Comedy']
2412,Smokin' Aces,"['Ryan Reynolds', 'Ray Liotta', 'Joseph Ruskin']",Joe Carnahan,"['neo-nazi', 'gun', 'sniper']","['Action', 'Comedy', 'Crime']"
2413,Saw: The Final Chapter,"['Tobin Bell', 'Costas Mandylor', 'Betsy Russell']",Kevin Greutert,"['survivor', 'violence', 'self help guru']","['Horror', 'Crime']"
2414,40 Days and 40 Nights,"['Josh Hartnett', 'Shannyn Sossamon', 'Adam Trese']",Michael Lehmann,"['sex addiction', 'laundromat']","['Comedy', 'Romance']"
2415,A Night at the Roxbury,"['Will Ferrell', 'Chris Kattan', 'Jennifer Coolidge']",John Fortenberry,"['night life', 'nightclub', 'flower']",['Comedy']
2416,Beastly,"['Alex Pettyfer', 'Vanessa Hudgens', 'Mary-Kate Olsen']",Daniel Barnz,"['based on novel', 'love', 'beautiful woman']","['Drama', 'Fantasy', 'Romance']"
2417,The Hills Have Eyes,"['Aaron Stanford', 'Kathleen Quinlan', 'Vinessa Shaw']",Alexandre Aja,"['ambush', 'new mexico', 'van']","['Horror', 'Thriller']"
2418,Dickie Roberts: Former Child Star,"['David Spade', 'Mary McCormack', 'Craig Bierko']",Sam Weisman,"['loser', 'child prodigy']",['Comedy']
2419,"McFarland, USA","['Kevin Costner', 'Ramiro Rodriguez', 'Carlos Pratts']",Niki Caro,"['california', 'small town', 'coach']",['Drama']
2420,Lottery Ticket,"['Shad Moss', 'Brandon T. Jackson', 'Naturi Naughton']",Erik White,[],['Comedy']
2421,ATL,"['T.I.', 'Evan Ross', 'Jackie Long']",Christian Robinson,[],['Drama']
2422,Pitch Perfect,"['Anna Kendrick', 'Skylar Astin', 'Brittany Snow']",Jason Moore,"['competition', 'roommate', 'college']","['Comedy', 'Music', 'Romance']"
2423,Summer Catch,"['Freddie Prinze Jr.', 'Jessica Biel', 'Fred Ward']",Mike Tollin,"['beach', 'baseball', 'sport']","['Drama', 'Comedy', 'Romance']"
2424,A Simple Plan,"['Bill Paxton', 'Bridget Fonda', 'Billy Bob Thornton']",Sam Raimi,"['brother brother relationship', 'money delivery', 'airplane']","['Drama', 'Crime', 'Thriller']"
2425,They,"['Laura Regan', 'Marc Blucas', 'Ethan Embry']",Robert Harmon,"['suicide', 'asylum', 'nightmare']","['Horror', 'Thriller']"
2426,Larry the Cable Guy: Health Inspector,"['Larry the Cable Guy', 'Iris Bahr', 'Tony Hale']",Trent Cooper,"['health inspector', 'food intoxication']",['Comedy']
2427,The Adventures of Elmo in Grouchland,"['Kevin Clash', 'Mandy Patinkin', 'Vanessa Williams']",Gary Halvorson,[],['Family']
2428,Brooklyn's Finest,"['Richard Gere', 'Don Cheadle', 'Ethan Hawke']",Antoine Fuqua,"['male nudity', 'female nudity', 'tattoo']","['Crime', 'Drama', 'Thriller']"
2429,55 Days at Peking,"['Charlton Heston', 'Ava Gardner', 'David Niven']",Nicholas Ray,"['siege', 'epic', 'beijing']","['Action', 'Drama', 'History']"
2430,Evil Dead,"['Jane Levy', 'Shiloh Fernandez', 'Lou Taylor Pucci']",Fede Alvarez,"['remake', 'demon', 'necronomicon']",['Horror']
2431,My Life in Ruins,"['Nia Vardalos', 'Richard Dreyfuss', 'Alexis Georgoulis']",Donald Petrie,"['beach', 'greece', 'tour bus']","['Comedy', 'Romance']"
2432,American Dreamz,"['Hugh Grant', 'Dennis Quaid', 'Mandy Moore']",Paul Weitz,"['usa president', 'moderator', 'musical']","['Comedy', 'Drama', 'Family']"
2433,Superman IV: The Quest for Peace,"['Christopher Reeve', 'Margot Kidder', 'Gene Hackman']",Sidney J. Furie,"['saving the world', 'dc comics', 'mountains']","['Action', 'Adventure', 'Science Fiction']"
2434,How She Move,"['Rutina Wesley', 'Dwain Murphy', 'Boyd Banks']",Ian Iqbal Rashid,"['black people', 'loss of sister', 'dance']",['Drama']
2435,Running Scared,"['Paul Walker', 'Cameron Bright', 'Vera Farmiga']",Wayne Kramer,"['ice hockey', 'racism', 'pedophile']","['Action', 'Crime', 'Drama']"
2436,Bobby Jones: Stroke of Genius,"['Jim Caviezel', 'Claire Forlani', 'Jeremy Northam']",Rowdy Herrington,['sport'],['Drama']
2437,Shanghai Surprise,"['Madonna', 'Sean Penn', 'Paul Freeman']",Jim Goddard,[],['Adventure']
2438,The Illusionist,"['Edward Norton', 'Jessica Biel', 'Paul Giamatti']",Neil Burger,"['magic', 'princess', 'love']","['Fantasy', 'Drama', 'Thriller']"
2439,Roar,"['Tippi Hedren', 'Melanie Griffith', 'Jerry Marshall']",Noel Marshall,"['africa', 'lion', 'elephant']","['Adventure', 'Thriller']"
2440,Veronica Guerin,"['Cate Blanchett', 'Gerard McSorley', 'Ciarán Hinds']",Joel Schumacher,"['journalism', 'police', 'drug scene']","['Drama', 'Crime', 'Thriller']"
2441,Escobar: Paradise Lost,"['Benicio del Toro', 'Josh Hutcherson', 'Brady Corbet']",Andrea Di Stefano,"['surfer', 'murder', 'murderer']","['Thriller', 'Romance']"
2442,Southland Tales,"['Dwayne Johnson', 'Seann William Scott', 'Sarah Michelle Gellar']",Richard Kelly,"['suicide', 'brother brother relationship', 'spy']","['Action', 'Adventure', 'Comedy']"
2443,Dragon Hunters,"['Vincent Lindon', 'Patrick Timsit', 'Philippe Nahon']",Guillaume Ivernel,"['destroy', 'future', 'world supremacy']","['Animation', 'Family']"
2444,Damnation Alley,"['Jan-Michael Vincent', 'George Peppard', 'Dominique Sanda']",Jack Smight,"['based on novel', 'future', 'post-apocalyptic']","['Action', 'Adventure', 'Science Fiction']"
2445,The Apparition,"['Ashley Greene', 'Sebastian Stan', 'Tom Felton']",Todd Lincoln ,"['experiment', 'supernatural', 'paranormal']","['Horror', 'Thriller']"
2446,My Girl,"['Anna Chlumsky', 'Macaulay Culkin', 'Dan Aykroyd']",Howard Zieff,"['neighbor', 'child killed by animal', 'writing class']","['Comedy', 'Drama', 'Family']"
2447,Fur: An Imaginary Portrait of Diane Arbus,"['Nicole Kidman', 'Robert Downey Jr.', 'Ty Burrell']",Steven Shainberg,"['photographer', 'biography', 'hair']","['Drama', 'Mystery', 'Romance']"
2448,Wall Street,"['Charlie Sheen', 'Michael Douglas', 'Martin Sheen']",Oliver Stone,"['power', 'fraud', 'broker']","['Crime', 'Drama']"
2449,Sense and Sensibility,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant']",Ang Lee,"['bowling', 'based on novel', 'servant']","['Drama', 'Romance']"
2450,Becoming Jane,"['Anne Hathaway', 'James McAvoy', 'Julie Walters']",Julian Jarrold,"['england', 'judge', 'irland']","['Drama', 'Romance']"
2451,Sydney White,"['Amanda Bynes', 'Sara Paxton', 'Matt Long']",Joe Nussbaum,"['college', 'romance', 'sorority']",['Comedy']
2452,House of Sand and Fog,"['Jennifer Connelly', 'Ben Kingsley', 'Ron Eldard']",Vadim Perelman,"['san francisco', 'immigrant', 'house']",['Drama']
2453,Dead Poets Society,"['Robin Williams', 'Ethan Hawke', 'Robert Sean Leonard']",Peter Weir,"['individual', 'philosophy', 'poetry']",['Drama']
2454,Dumb and Dumber,"['Jim Carrey', 'Jeff Daniels', 'Lauren Holly']",Bobby Farrelly,"['gas station', 'motel', 'utah']",['Comedy']
2455,When Harry Met Sally...,"['Meg Ryan', 'Billy Crystal', 'Carrie Fisher']",Rob Reiner,"['new york', 'wife husband relationship', 'restaurant']","['Comedy', 'Romance', 'Drama']"
2456,The Verdict,"['Paul Newman', 'Charlotte Rampling', 'Jack Warden']",Sidney Lumet,"['boston', 'court', 'malpractice']",['Drama']
2457,Road Trip,"['Breckin Meyer', 'Seann William Scott', 'Amy Smart']",Todd Phillips,"['female nudity', 'sex', 'sexism']","['Comedy', 'Adventure']"
2458,Varsity Blues,"['James Van Der Beek', 'Amy Smart', 'Jon Voight']",Brian Robbins,"['american football', 'small town', 'texas']","['Comedy', 'Drama', 'Romance']"
2459,The Artist,"['Jean Dujardin', 'Bérénice Bejo', 'John Goodman']",Michel Hazanavicius,"['film producer', 'film history', 'movie studio']","['Drama', 'Comedy', 'Romance']"
2460,The Unborn,"['Odette Annable', 'Gary Oldman', 'Meagan Good']",David S. Goyer,[],"['Horror', 'Thriller', 'Mystery']"
2461,Moonrise Kingdom,"['Bruce Willis', 'Edward Norton', 'Jared Gilman']",Wes Anderson,"['new england', 'first love', 'eye patch']","['Comedy', 'Drama', 'Romance']"
2462,The Texas Chainsaw Massacre: The Beginning,"['Jordana Brewster', 'Taylor Handley', 'Diora Baird']",Jonathan Liebesman,"['mass murder', 'planned murder', 'chain saw']",['Horror']
2463,The Young Messiah,"['Adam Greaves-Neal', 'Sara Lazzaro', 'Vincent Walsh']",Cyrus Nowrasteh,"['egypt', 'jesus christ', 'gospel']",['Drama']
2464,The Master of Disguise,"['Dana Carvey', 'Brent Spiner', 'Jennifer Esposito']",Perry Andelin Blake,"['aftercreditsstinger', 'duringcreditsstinger']","['Comedy', 'Family']"
2465,Pan's Labyrinth,"['Ivana Baquero', 'Maribel Verdú', 'Sergi López']",Guillermo del Toro,"['spain', 'resistance', 'servant']","['Fantasy', 'Drama', 'War']"
2466,See Spot Run,"['Michael Clarke Duncan', 'David Arquette', 'Leslie Bibb']",John Whitesell,['dog'],"['Action', 'Comedy', 'Family']"
2467,Baby Boy,"['Tyrese Gibson', 'Taraji P. Henson', 'Omar Gooding']",John Singleton,"['single parent', 'intolerance', 'condom']","['Crime', 'Drama', 'Romance']"
2468,The Roommate,"['Minka Kelly', 'Leighton Meester', 'Cam Gigandet']",Christian E. Christiansen,"['jealousy', 'roommate', 'obsession']","['Thriller', 'Drama', 'Horror']"
2469,Joe Dirt,"['David Spade', 'Brittany Daniel', 'Dennis Miller']",Dennie Gordon,"['parents kids relationship', 'loss of parents', 'looking for  birth parents']","['Mystery', 'Adventure', 'Comedy']"
2470,Double Impact,"['Jean-Claude Van Damme', 'Geoffrey Lewis', 'Alonna Shaw']",Sheldon Lettich,"['loss of parents', 'karate', 'fighter']","['Thriller', 'Action', 'Crime']"
2471,Hot Fuzz,"['Simon Pegg', 'Nick Frost', 'Jim Broadbent']",Edgar Wright,"['village', 'arrest', 'police']","['Crime', 'Action', 'Comedy']"
2472,The Women,"['Cloris Leachman', 'India Ennenga', 'Annette Bening']",Diane English,"['beauty salon', 'divorce', 'woman director']","['Comedy', 'Drama', 'Romance']"
2473,Vicky Cristina Barcelona,"['Scarlett Johansson', 'Rebecca Hall', 'Javier Bardem']",Woody Allen,"['barcelona spain', 'menage a trois', 'author']","['Drama', 'Romance']"
2474,Arn: The Knight Templar,"['Joakim Nätterqvist', 'Sofia Helin', 'Stellan Skarsgård']",Peter Flinth,['tv movie'],"['Action', 'Adventure', 'Drama']"
2475,Boys and Girls,"['Freddie Prinze Jr.', 'Claire Forlani', 'Jason Biggs']",Robert Iscove,"['soulmates', 'new love', 'platonic love']","['Comedy', 'Drama', 'Romance']"
2476,White Oleander,"['Alison Lohman', 'Michelle Pfeiffer', 'Cole Hauser']",Peter Kosminsky,"['poison', 'prison', 'loss of family']",['Drama']
2477,Jennifer's Body,"['Megan Fox', 'Amanda Seyfried', 'Johnny Simmons']",Karyn Kusama,"['bloodthirstiness', 'high school', 'sexual murder']","['Comedy', 'Horror']"
2478,Drowning Mona,"['Danny DeVito', 'Bette Midler', 'Neve Campbell']",Nick Gomez,"['suspicion', 'suspect', 'investigation']","['Comedy', 'Crime', 'Mystery']"
2479,Radio Days,"['Woody Allen', 'Mia Farrow', 'Jeff Daniels']",Woody Allen,"['beach', 'taxi driver', 'world war ii']","['Comedy', 'Drama']"
2480,Remember Me,"['Robert Pattinson', 'Emilie de Ravin', 'Pierce Brosnan']",Allen Coulter,"['new york', 'father son relationship', 'grieving']","['Drama', 'Romance']"
2481,How to Deal,"['Mandy Moore', 'Trent Ford', 'Allison Janney']",Clare Kilner,['woman director'],"['Drama', 'Comedy', 'Romance']"
2482,My Stepmother is an Alien,"['Dan Aykroyd', 'Kim Basinger', 'Jon Lovitz']",Richard Benjamin,"['alien', 'spoof', 'sneeze']","['Comedy', 'Science Fiction']"
2483,Philadelphia,"['Tom Hanks', 'Denzel Washington', 'Jason Robards']",Jonathan Demme,"['gay', 'aids', 'homophobia']",['Drama']
2484,The Thirteenth Floor,"['Craig Bierko', 'Armin Mueller-Stahl', 'Gretchen Mol']",Josef Rusnak,"['artificial intelligence', 'simulation', 'computer program']","['Thriller', 'Science Fiction', 'Mystery']"
2485,The Cookout,"['Ja Rule', 'Tim Meadows', 'Jenifer Lewis']",Lance Rivera,['comedy'],"['Comedy', 'Drama']"
2486,Meteor,"['Sean Connery', 'Natalie Wood', 'Karl Malden']",Ronald Neame,"['meteor', 'disaster', 'disaster film']","['Action', 'Science Fiction', 'Thriller']"
2487,Duets,"['Gwyneth Paltrow', 'Scott Speedman', 'Maria Bello']",Bruce Paltrow,['musical'],"['Comedy', 'Drama', 'Music']"
2488,Hollywood Ending,"['Woody Allen', 'George Hamilton', 'Téa Leoni']",Woody Allen,"['blindness and impaired vision', 'creative crisis', 'film director']","['Comedy', 'Drama']"
2489,Detroit Rock City,"['Giuseppe Andrews', 'James DeBello', 'Edward Furlong']",Adam Rifkin,"['parents kids relationship', 'kiss', 'independent film']","['Comedy', 'Music']"
2490,Highlander,"['Christopher Lambert', 'Roxanne Hart', 'Clancy Brown']",Russell Mulcahy,"['new york', 'scotland', 'swordplay']","['Adventure', 'Action', 'Fantasy']"
2491,Things We Lost in the Fire,"['Halle Berry', 'Benicio del Toro', 'David Duchovny']",Susanne Bier,"['sadness', 'loss of father', 'junkie']",['Drama']
2492,Steel,"[""Shaquille O'Neal"", 'Annabeth Gish', 'Richard Roundtree']",Kenneth Johnson,"['dc comics', 'los angeles', 'soldier']","['Science Fiction', 'Action', 'Adventure']"
2493,The Immigrant,"['Marion Cotillard', 'Jeremy Renner', 'Joaquin Phoenix']",James Gray,"['new york', 'corruption', 'sister sister relationship']","['Drama', 'Romance']"
2494,The White Countess,"['Ralph Fiennes', 'Natasha Richardson', 'Hiroyuki Sanada']",James Ivory,[],"['Drama', 'History', 'Family']"
2495,Trance,"['James McAvoy', 'Vincent Cassel', 'Rosario Dawson']",Danny Boyle,"['amnesia', 'art thief', 'hypnotism']","['Thriller', 'Crime', 'Drama']"
2496,Soul Plane,"['Tom Arnold', 'Kevin Hart', 'Method Man']",Jessy Terrero,"['black people', 'hip-hop', 'nightclub']","['Romance', 'Comedy']"
2497,Welcome to the Sticks,"['Kad Merad', 'Dany Boon', 'Zoé Félix']",Dany Boon,"['clock tower', 'jealousy', 'cheating']",['Comedy']
2498,Good,"['Viggo Mortensen', 'Jason Isaacs', 'Mark Strong']",Vicente Amorim,"['germany', 'nazis', 'nazism']",['Drama']
2499,Enter the Void,"['Nathaniel Brown', 'Paz de la Huerta', 'Cyril Roy']",Gaspar Noé,"['prostitute', 'hallucination', 'strip club']","['Fantasy', 'Drama']"
2500,Vamps,"['Alicia Silverstone', 'Krysten Ritter', 'Sigourney Weaver']",Amy Heckerling,"['vampire', 'love', 'woman director']","['Comedy', 'Romance', 'Horror']"
2501,Hachi: A Dog's Tale,"['Richard Gere', 'Joan Allen', 'Jason Alexander']",Lasse Hallström,"['japanese', 'loyalty', 'human animal relationship']","['Drama', 'Family']"
2502,Zulu,"['Orlando Bloom', 'Forest Whitaker', 'Conrad Kemp']",Jérôme Salle,[],"['Crime', 'Drama', 'Thriller']"
2503,The Homesman,"['Hilary Swank', 'Tommy Lee Jones', 'Grace Gummer']",Tommy Lee Jones,"['dancing', 'based on novel', 'revenge']","['Western', 'Drama']"
2504,Juwanna Mann,"['Miguel A. Núñez, Jr.', 'Vivica A. Fox', 'Kevin Pollak']",Jesse Vaughan,"['sport', 'basketball', 'beautiful woman']","['Comedy', 'Drama']"
2505,Ararat,"['Simon Abkarian', 'Charles Aznavour', 'Christopher Plummer']",Atom Egoyan,"['destruction of a civilization', 'turkey']","['War', 'Drama']"
2506,Madison,"['Jim Caviezel', 'Jake Lloyd', 'Mary McCormack']",William Bindley,"['sport', 'independent film']","['Action', 'Adventure', 'Drama']"
2507,Slow Burn,"['Ray Liotta', 'LL Cool J', 'Mekhi Phifer']",Wayne Beach,[],"['Mystery', 'Crime', 'Drama']"
2508,Wasabi,"['Jean Reno', 'Ryoko Hirosue', 'Michel Muller']",Gérard Krawczyk,"['handcuffs', 'hitman', 'love letter']","['Drama', 'Action', 'Comedy']"
2509,Slither,"['Nathan Fillion', 'Don Thompson', 'Elizabeth Banks']",James Gunn,"['small town', 'mutant', 'meteor']","['Comedy', 'Horror', 'Science Fiction']"
2510,Beverly Hills Cop,"['Eddie Murphy', 'Judge Reinhold', 'John Ashton']",Martin Brest,"['california', 'showdown', 'undercover']","['Action', 'Comedy', 'Crime']"
2511,Home Alone,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern']",Chris Columbus,"['holiday', 'burglar', 'home invasion']","['Comedy', 'Family']"
2512,Three Men and a Baby,"['Tom Selleck', 'Steve Guttenberg', 'Ted Danson']",Leonard Nimoy,"['baby', 'roommate', 'bachelor']","['Family', 'Comedy', 'Drama']"
2513,Tootsie,"['Dustin Hoffman', 'Jessica Lange', 'Teri Garr']",Sydney Pollack,"['infidelity', 'love', 'friends']","['Comedy', 'Romance']"
2514,Top Gun,"['Tom Cruise', 'Kelly McGillis', 'Val Kilmer']",Tony Scott,"['lovesickness', 'loss of lover', 'fighter pilot']","['Action', 'Romance', 'War']"
2515,"Crouching Tiger, Hidden Dragon","['Chow Yun-fat', 'Michelle Yeoh', 'Zhang Ziyi']",Ang Lee,"['flying', 'martial arts', 'taskmaster']","['Adventure', 'Drama', 'Action']"
2516,American Beauty,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']",Sam Mendes,"['male nudity', 'female nudity', 'adultery']",['Drama']
2517,The King's Speech,"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter']",Tom Hooper,"['great britain', 'radio', 'monarchy']","['Drama', 'History']"
2518,Twins,"['Arnold Schwarzenegger', 'Danny DeVito', 'Kelly Preston']",Ivan Reitman,"['perfection', 'delivery', 'low intelligence']",['Comedy']
2519,The Yellow Handkerchief,"['William Hurt', 'Maria Bello', 'Kristen Stewart']",Udayan Prasad,['independent film'],"['Drama', 'Romance']"
2520,The Color Purple,"['Whoopi Goldberg', 'Margaret Avery', 'Danny Glover']",Steven Spielberg,"['prison', 'africa', 'southern usa']",['Drama']
2521,Tidal Wave,"['Park Joong-hoon', 'Sol Kyung-gu', 'Uhm Jung-hwa']",Yoon Je-kyoon,"['helicopter', 'beach', 'loss of father']","['Action', 'Adventure', 'Drama']"
2522,The Imitation Game,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode']",Morten Tyldum,"['gay', 'england', 'world war ii']","['History', 'Drama', 'Thriller']"
2523,Private Benjamin,"['Goldie Hawn', 'Eileen Brennan', 'Armand Assante']",Howard Zieff,"['paris', 'role of women']",['Comedy']
2524,Coal Miner's Daughter,"['Sissy Spacek', 'Tommy Lee Jones', 'Levon Helm']",Michael Apted,"['country music', 'female friendship', 'biography']","['Drama', 'Music']"
2525,Diary of a Wimpy Kid,"['Zachary Gordon', 'Robert Capron', 'Rachael Harris']",Thor Freudenthal,"['based on novel', 'coming of age', 'young boy']","['Comedy', 'Family']"
2526,Mama,"['Jessica Chastain', 'Nikolaj Coster-Waldau', 'Megan Charpentier']",Andy Muschietti,['supernatural horror'],['Horror']
2527,National Lampoon's Vacation,"['Chevy Chase', ""Beverly D'Angelo"", 'Imogene Coca']",Harold Ramis,"['usa', 'relatives', 'family vacation']","['Comedy', 'Adventure', 'Romance']"
2528,Bad Grandpa,"['Johnny Knoxville', 'Jackson Nicoll', 'Georgina Cates']",Jeff Tremaine,['duringcreditsstinger'],['Comedy']
2529,The Queen,"['Helen Mirren', 'Michael Sheen', 'James Cromwell']",Stephen Frears,"['upper class', 'loss of mother', 'great britain']",['Drama']
2530,Beetlejuice,"['Geena Davis', 'Alec Baldwin', 'Winona Ryder']",Tim Burton,"['minister', 'giant snake', 'skeleton']","['Fantasy', 'Comedy']"
2531,Why Did I Get Married?,"['Tyler Perry', 'Jill Scott', 'Janet Jackson']",Tyler Perry,[],"['Comedy', 'Drama']"
2532,Little Women,"['Winona Ryder', 'Gabriel Byrne', 'Trini Alvarado']",Gillian Armstrong,"['depression', 'mother daughter relationship', 'pregnant']","['Drama', 'Romance']"
2533,The Woman in Black,"['Daniel Radcliffe', 'Ciarán Hinds', 'Sidney Johnston']",James Watkins,"['london england', 'secret', 'remake']","['Drama', 'Horror', 'Thriller']"
2534,When a Stranger Calls,"['Camilla Belle', 'Katie Cassidy', 'Tommy Flanagan']",Simon West,"['babysitter', 'death of a friend', 'killer']","['Horror', 'Thriller']"
2535,Big Fat Liar,"['Frankie Muniz', 'Paul Giamatti', 'Amanda Bynes']",Shawn Levy,"['screenplay', 'film producer', 'auto']","['Comedy', 'Family']"
2536,The Deer Hunter,"['Robert De Niro', 'John Cazale', 'John Savage']",Michael Cimino,"['vietnam veteran', 'pennsylvania', 'vietnam']","['Drama', 'War']"
2537,Wag the Dog,"['Dustin Hoffman', 'Robert De Niro', 'Anne Heche']",Barry Levinson,"['washington d.c.', 'rape', 'cia']","['Comedy', 'Drama']"
2538,The Lizzie McGuire Movie,"['Hilary Duff', 'Adam Lamberg', 'Hallie Todd']",Jim Fall,[],"['Family', 'Comedy']"
2539,Snitch,"['Dwayne Johnson', 'Barry Pepper', 'Jon Bernthal']",Ric Roman Waugh,"['father son relationship', 'based on true story']","['Thriller', 'Drama']"
2540,Krampus,"['Adam Scott', 'Toni Collette', 'Allison Tolman']",Michael Dougherty,"['fire', 'winter', 'santa claus']","['Horror', 'Comedy', 'Fantasy']"
2541,The Faculty,"['Jordana Brewster', 'Elijah Wood', 'Clea DuVall']",Robert Rodriguez,"['american football', 'high school', 'alien']","['Horror', 'Mystery', 'Science Fiction']"
2542,What's Love Got to Do with It,"['Angela Bassett', 'Laurence Fishburne', 'Vanessa Bell Calloway']",Brian Gibson,"['price of fame', 'tina turner', 'black woman']","['Drama', 'Music']"
2543,Cop Land,"['Sylvester Stallone', 'Harvey Keitel', 'Ray Liotta']",James Mangold,"['corruption', 'new jersey', 'handcuffs']","['Action', 'Crime', 'Drama']"
2544,Not Another Teen Movie,"['Chyler Leigh', 'Chris Evans', 'Jaime Pressly']",Joel Gallen,"['underdog', 'ball', 'kiss']",['Comedy']
2545,End of Watch,"['Jake Gyllenhaal', 'Michael Peña', 'Natalie Martinez']",David Ayer,"['los angeles', 'bullet proof vest', 'u.s. marine']","['Crime', 'Drama', 'Thriller']"
2546,The Skulls,"['Joshua Jackson', 'Paul Walker', 'Hill Harper']",Rob Cohen,"['journalist', 'secret society', 'pizza']","['Crime', 'Drama', 'Thriller']"
2547,The Theory of Everything,"['Eddie Redmayne', 'Felicity Jones', 'Charlie Cox']",James Marsh,"['wife husband relationship', 'biography', 'physicist']","['Drama', 'Romance']"
2548,Malibu's Most Wanted,"['Jamie Kennedy', 'Taye Diggs', 'Anthony Anderson']",John Whitesell,"['street gang', 'los angeles']","['Comedy', 'Crime']"
2549,Where the Heart Is,"['Natalie Portman', 'Ashley Judd', 'Stockard Channing']",Matt Williams,"['california', 'baby', 'supermarket']","['Comedy', 'Drama', 'Romance']"
2550,Lawrence of Arabia,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']",David Lean,"['cairo', 'arabian', 'world war i']","['Adventure', 'Drama', 'History']"
2551,Halloween II,"['Scout Taylor-Compton', 'Sheri Moon Zombie', 'Tyler Mane']",Rob Zombie,"['nurse', 'shotgun', 'nudity']",['Horror']
2552,Wild,"['Reese Witherspoon', 'Laura Dern', 'Thomas Sadoski']",Jean-Marc Vallée,"['adventure', 'biography', 'hiking']",['Drama']
2553,The Last House on the Left,"['Garret Dillahunt', 'Michael Bowen', 'Joshua Cox']",Dennis Iliadis,"['rape', 'white trash', 'revenge']","['Crime', 'Thriller', 'Horror']"
2554,The Wedding Date,"['Debra Messing', 'Dermot Mulroney', 'Amy Adams']",Clare Kilner,"['based on novel', 'callboy', 'wedding']","['Comedy', 'Romance']"
2555,Halloween: Resurrection,"['Jamie Lee Curtis', 'Brad Loree', 'Busta Rhymes']",Rick Rosenthal,"['brother sister relationship', 'innocence', 'serial killer']","['Horror', 'Thriller']"
2556,The Princess Bride,"['Cary Elwes', 'Robin Wright', 'Mandy Patinkin']",Rob Reiner,"['swashbuckler', 'evil prince', 'reference to socrates']","['Adventure', 'Family', 'Fantasy']"
2557,The Great Debaters,"['Denzel Washington', 'Nate Parker', 'Forest Whitaker']",Denzel Washington,['biography'],['Drama']
